FlightNumber,airplaneType,originCity,originAirport,destCity,destAirport,totalSeats,remainingSeats,ticketPrice
1,Boeing 737,Islamabad,ISB,Lahore,LHE,95,95,15000.0,1/12/2021
2,Boeing 747,Islamabad,ISB,Karachi,KHI,150,150,30000.0,2/12/2021
3,Airbus A320,Islamabad,ISB,Quetta,UET,89,89,18000.0,3/12/2021
4,ATR-72,Islamabad,ISB,Multan,MUX,50,50,10000.0,4/12/2021
5,Boeing 737,Lahore,LHE,Islamabad,ISB,95,95,15000.0,5/12/2021
6,Boeing 747,Lahore,LHE,Karachi,KHI,150,150,30000.0,6/12/2021
7,Airbus A320,Lahore,LHE,Quetta,QUT,89,89,18000.0,7/12/2021
8,ATR-72,Lahore,LHE,Multan,MUX,50,50,10000.0,1/12/2021
9,Boeing 737,Karachi,KHI,Lahore,LHE,95,95,15000.0,2/12/2021
10,Boeing 747,Karachi,KHI,Quetta,UET,150,150,30000.0,3/12/2021
11,Airbus A320,Karachi,KHI,Multan,MUX,89,89,18000.0,4/12/2021
12,ATR-72,Karachi,KHI,Islamabad,ISB,50,50,10000.0,5/12/2021
13,Boeing 747,Quetta,UET,Lahore,LHE,95,95,15000.0,6/12/2021
14,Airbus A320,Quetta,UET,Karachi,KHI,150,150,30000.0,7/12/2021
15,ATR-72,Quetta,UET,Multan,MUX,50,50,10000.0,1/12/2021
16,Boeing 737,Quetta,UET,Islamabad,ISB,95,95,15000.0,2/12/2021
17,Airbus A320,Multan,MUX,Lahore,LHE,150,150,30000.0,3/12/2021
18,ATR-72,Multan,MUX,Karachi,KHI,89,89,18000.0,4/12/2021
19,Boeing 737,Multan,MUX,Quetta,UET,50,50,10000.0,5/12/2021
20,Boeing 747,Multan,MUX,Islamabad,ISB,95,95,15000.0,6/12/2021
21,ATR-72,Islamabad,ISB,Skardu,KDU,50,50,10000.0,7/12/2021
22,Boeing 737,Karachi,KHI,Gawadar,GWD,95,95,15000.0,1/12/2021
